url,page_type,reasoning
https://www.bulk.com/uk/about,content_page,"The page provides information about the brand Bulk™, its story, and its commitment to nutrition but does not list specific products for sale, nor does it contain shopping actions."
https://www.bulk.com/uk/accessories-clothing/bags-backpacks,product_listing_page,The page provides an overview of a category of products (gym bags and backpacks) but does not focus on a single product with a price or a buy option.
https://www.bulk.com/uk/accessories-clothing/bulk-x-castore,product_listing_page,"The page showcases a collection of products under the 'Bulk™ × Castore' range, indicating that it lists multiple products but does not offer a single product for purchase on this page."
https://www.bulk.com/uk/accessories-clothing/bulk-x-new-era,product_listing_page,"The page lists a collection of hats and caps for sale, specifically marketed under a collaboration between Bulk™ and New Era®. It serves as an overview of products in this category."
https://www.bulk.com/uk/accessories-clothing/capping-kits,product_listing_page,"The page discusses and lists a category of products known as 'Capping Kits' for sale, indicating that it is an overview page for multiple products within that category."
https://www.bulk.com/uk/accessories-clothing/clothing,product_listing_page,"The page is a product list page that showcases gym clothing and workout gear, indicating a category overview of products available for purchase."
https://www.bulk.com/uk/accessories-clothing/empty-capsules,product_listing_page; faq_page,"The page contains a list of empty capsules available for purchase, which classifies it as a product listing page. Additionally, it features a FAQ section dedicated to empty capsules, qualifying it as an FAQ page."
https://www.bulk.com/uk/accessories-clothing/empty-tubs,product_listing_page,"The page provides a list of products within the category of empty tubs for supplement storage, which indicates it is a product listing page."
https://www.bulk.com/uk/accessories-clothing/gym-clothing,product_listing_page; faq_page,"The page contains a product list for gym clothing, indicating it is a product listing page, and it also includes a section with FAQs related to gym clothing, qualifying it as a FAQ page."
https://www.bulk.com/uk/accessories-clothing/hoodies,product_listing_page,"The page lists a selection of gym hoodies available for purchase, making it a product listing page."
https://www.bulk.com/uk/accessories-clothing/joggers,product_listing_page,"The page contains a list of joggers and related clothing items available for sale, along with descriptions and links to multiple products."
https://www.bulk.com/uk/accessories-clothing/measures-scoops,product_listing_page,"The page provides a list of various measures and scoops available for purchase, indicating it is a product listing page."
